年月日,今金,東京,大阪,名護
2022/11/22,9.4,20.4,18.9,27.2
2022/11/23,7.9,15.3,15.8,24.1
2022/11/24,11.7,20.9,19.4,23.3
2022/11/25,9.7,17.8,18.7,23.7
2022/11/26,15.1,16.6,17.9,26.0
2022/11/27,4.9,19.2,18.7,25.6
2022/11/28,8.6,14.3,20.5,26.4
2022/11/29,15.8,21.3,19.5,28.3
2022/11/30,4.7,20.6,17.9,24.8
2022/12/1,-2.9,13.6,12.6,20.0
2022/12/2,-1.8,13.3,12.0,19.7
2022/12/3,2.3,11.7,12.5,23.8
2022/12/4,2.4,15.9,14.1,26.6
2022/12/5,-1.3,10.3,13.2,26.0
2022/12/6,1.7,8.6,13.6,19.8
2022/12/7,2.5,14.2,12.3,21.7
2022/12/8,1.1,14.9,15.1,23.5
2022/12/9,2.5,13.8,15.9,20.8
2022/12/10,2.6,15.8,16.8,24.4
2022/12/11,1.7,15.2,16.2,23.8
2022/12/12,2.8,11.8,13.6,21.9
2022/12/13,4.7,10.1,14.5,21.2
2022/12/14,0.4,15.4,12.1,19.6
2022/12/15,-3.8,12.4,9.2,20.0
2022/12/16,-4.3,14.1,12.3,19.7
2022/12/17,-2.4,10.1,7.2,20.2
2022/12/18,-3.2,11.3,6.6,15.5
2022/12/19,-3.8,10.1,7.0,18.3
2022/12/20,-1.8,10.9,9.8,20.6
2022/12/21,1.1,9.9,11.7,20.3
2022/12/22,5.1,10.7,11.9,17.7
2022/12/23,4.5,8.4,4.5,14.3
2022/12/24,4.0,11.5,9.6,14.5
2022/12/25,3.3,13.1,11.1,17.5
2022/12/26,3.9,11.4,9.5,18.7
2022/12/27,5.0,12.3,11.1,19.0
2022/12/28,1.3,11.9,11.8,21.0
2022/12/29,-1.0,13.7,11.0,21.3
2022/12/30,-1.1,11.8,10.5,17.4
2022/12/31,3.3,10.5,11.7,19.4
2023/1/1,3.0,13.0,11.1,19.6
2023/1/2,-5.1,12.1,11.4,19.8
2023/1/3,-4.8,11.0,10.6,20.2
2023/1/4,-3.7,11.0,10.7,19.4
2023/1/5,-0.6,10.6,9.9,20.5
2023/1/6,0.5,9.9,11.3,21.3
2023/1/7,1.3,10.4,10.4,19.1
2023/1/8,1.2,12.5,12.2,20.6
2023/1/9,2.2,13.9,12.1,21.7
2023/1/10,-1.7,9.9,9.6,22.9
2023/1/11,4.4,10.7,11.6,22.6
2023/1/12,7.3,12.6,14.9,23.4
2023/1/13,9.3,14.0,15.5,24.3
2023/1/14,4.4,14.2,14.4,24.8
2023/1/15,0.9,12.0,13.7,22.8
2023/1/16,-0.9,7.7,11.6,17.2
2023/1/17,-4.1,7.6,9.4,18.0
2023/1/18,-2.0,12.4,10.4,18.0
2023/1/19,-0.5,9.1,11.4,19.1
2023/1/20,1.3,12.3,11.7,18.6
2023/1/21,-1.1,9.0,8.3,20.6
2023/1/22,-3.5,8.9,9.1,23.0
2023/1/23,-3.8,6.1,8.1,23.0
2023/1/24,-6.0,11.8,9.8,19.7
2023/1/25,-9.2,3.7,3.5,14.0
2023/1/26,-5.7,8.5,6.7,19.8
2023/1/27,-3.5,6.6,5.7,18.6
2023/1/28,-5.8,8.3,7.3,14.1
2023/1/29,-6.8,8.8,7.5,15.9
2023/1/30,-2.7,10.0,9.4,16.3
2023/1/31,-2.0,9.0,8.5,19.3
2023/2/1,0.5,13.1,10.3,22.5
2023/2/2,-2.8,9.2,8.3,21.3
2023/2/3,-4.5,6.2,8.0,19.6
2023/2/4,-2.1,11.2,11.6,19.1
2023/2/5,0.4,12.0,11.4,20.4
2023/2/6,2.1,13.6,11.0,21.7
2023/2/7,0.2,15.4,13.2,22.9
2023/2/8,-0.1,11.7,12.6,22.6
2023/2/9,-2.3,10.6,10.3,23.3
2023/2/10,-1.2,3.5,9.2,22.4
2023/2/11,2.3,14.1,14.3,22.4
2023/2/12,3.1,16.9,16.9,24.4
2023/2/13,2.0,10.3,12.0,25.0
2023/2/14,-0.2,10.7,8.6,19.3
2023/2/15,-4.8,7.8,6.9,16.2
2023/2/16,0.5,9.6,6.6,20.7
2023/2/17,3.3,10.8,11.7,21.8
2023/2/18,5.1,15.0,10.7,23.1
2023/2/19,3.5,18.5,14.3,24.5
2023/2/20,-0.5,14.7,12.7,18.5
2023/2/21,-2.5,9.2,8.5,17.6
2023/2/22,0.7,10.4,10.0,21.9
2023/2/23,3.4,14.4,12.5,24.2
2023/2/24,3.1,12.1,8.7,23.6
2023/2/25,0.4,12.7,10.2,18.6
2023/2/26,-1.5,10.7,8.9,18.5
2023/2/27,5.8,15.0,12.8,19.1
2023/2/28,9.1,19.4,15.6,21.9
2023/3/1,6.0,19.4,18.8,22.5
2023/3/2,4.0,20.0,13.2,18.2
2023/3/3,2.9,13.4,11.6,17.6
2023/3/4,2.7,17.4,16.5,21.4
2023/3/5,5.5,13.1,14.8,20.8
2023/3/6,7.7,15.0,15.9,21.1
2023/3/7,9.3,18.8,17.0,21.9
2023/3/8,9.9,21.3,19.8,23.3
2023/3/9,6.1,22.2,21.1,23.4
2023/3/10,6.8,22.9,21.7,23.0
2023/3/11,5.8,20.8,24.6,24.9
2023/3/12,4.8,18.8,22.3,24.3
2023/3/13,7.4,16.7,17.8,19.6
2023/3/14,4.6,14.6,16.2,21.0
2023/3/15,7.1,17.9,19.8,23.1
2023/3/16,5.4,20.9,21.5,23.6
2023/3/17,5.8,15.1,15.8,24.2
2023/3/18,6.4,9.5,13.5,24.0
2023/3/19,8.7,15.5,16.9,22.6
2023/3/20,12.7,19.2,18.8,21.8
2023/3/21,15.2,18.5,16.6,25.3
2023/3/22,17.0,23.8,25.2,25.3
2023/3/23,9.7,19.7,19.9,26.0
2023/3/24,9.6,25.0,21.3,26.8
2023/3/25,8.3,14.1,16.7,22.7
2023/3/26,6.9,12.5,12.7,20.8
2023/3/27,7.6,16.9,17.3,21.6
2023/3/28,10.1,13.4,18.4,22.6
2023/3/29,10.8,18.6,19.2,21.6
2023/3/30,12.4,19.7,20.9,22.8
2023/3/31,11.8,20.1,22.2,24.3
2023/4/1,11.6,23.3,25.1,25.1
2023/4/2,13.5,19.0,23.3,24.3
2023/4/3,13.6,18.4,21.7,25.3
2023/4/4,16.0,21.0,21.4,24.1
2023/4/5,17.5,21.8,20.7,24.6
2023/4/6,12.6,23.4,22.5,25.5
2023/4/7,11.2,21.3,19.7,23.3
2023/4/8,11.6,21.1,16.1,21.4
2023/4/9,8.2,17.7,17.8,21.8
2023/4/10,13.2,21.6,20.8,23.7
2023/4/11,14.2,25.0,24.0,26.0
2023/4/12,13.7,24.5,20.4,27.5
2023/4/13,11.3,21.3,21.9,26.4
2023/4/14,14.6,22.5,22.2,26.3
2023/4/15,12.0,18.0,15.3,24.6
2023/4/16,8.2,24.5,19.9,26.9
2023/4/17,7.5,20.3,18.0,27.9
2023/4/18,12.7,21.0,21.5,26.0
2023/4/19,12.4,24.9,19.7,25.0
2023/4/20,15.9,26.0,26.4,25.8
2023/4/21,11.0,26.8,27.4,26.0
2023/4/22,9.2,18.4,20.3,25.5
2023/4/23,9.9,20.5,22.6,26.7
2023/4/24,10.6,16.0,16.8,27.6
2023/4/25,14.1,19.1,16.3,26.9
2023/4/26,11.6,19.7,16.5,22.4
2023/4/27,12.5,23.8,21.1,24.8
2023/4/28,13.3,24.1,22.5,26.6
2023/4/29,18.5,23.8,24.0,26.9
2023/4/30,14.6,22.0,19.8,25.1
2023/5/1,14.6,22.5,22.7,24.5
2023/5/2,13.8,23.0,22.9,26.3
2023/5/3,18.6,23.4,23.2,26.0
2023/5/4,17.6,25.7,24.2,25.8
2023/5/5,17.0,26.6,25.9,27.3
2023/5/6,16.3,27.9,27.2,27.0
2023/5/7,16.9,22.3,20.7,25.9
2023/5/8,12.0,16.6,19.5,23.7
2023/5/9,13.8,20.6,23.8,25.5
2023/5/10,17.0,25.0,25.4,26.0
2023/5/11,14.7,23.4,25.9,26.0
2023/5/12,15.7,21.9,26.4,25.8
2023/5/13,20.8,18.1,23.5,26.0
2023/5/14,20.8,21.2,19.8,23.3
2023/5/15,15.8,18.1,26.4,25.9
2023/5/16,18.9,27.5,27.1,27.4
2023/5/17,22.4,31.6,30.3,26.6
2023/5/18,21.7,32.2,27.7,26.5
2023/5/19,22.9,24.5,20.7,27.3
2023/5/20,19.3,22.8,24.7,27.7
2023/5/21,14.5,26.3,28.0,26.1
2023/5/22,16.8,29.4,28.6,27.9
2023/5/23,18.5,17.2,23.6,25.6
2023/5/24,18.0,23.9,24.7,26.6
2023/5/25,21.7,23.8,26.2,28.0
2023/5/26,23.5,24.9,26.3,27.9
2023/5/27,22.4,26.7,26.9,25.9
2023/5/28,17.4,25.8,27.5,28.1
2023/5/29,19.3,21.3,24.6,30.5
2023/5/30,17.6,26.3,23.5,31.0
2023/5/31,18.5,22.2,25.0,30.1
2023/6/1,21.7,26.2,27.2,27.0
2023/6/2,23.8,23.8,22.0,27.2
2023/6/3,18.9,24.0,26.6,28.7
2023/6/4,17.8,27.5,26.9,29.9
2023/6/5,20.9,29.8,27.6,29.5
2023/6/6,20.5,25.1,23.6,30.1
2023/6/7,19.1,29.6,26.8,30.1
2023/6/8,25.8,28.7,25.2,30.5
2023/6/9,17.3,22.2,26.0,30.5
2023/6/10,21.3,26.0,26.3,29.4
2023/6/11,19.1,22.8,25.4,29.9
2023/6/12,20.9,22.5,24.8,28.8
2023/6/13,19.0,29.4,28.6,27.5
2023/6/14,23.9,25.8,27.8,26.5
2023/6/15,21.9,24.1,26.3,27.8
2023/6/16,24.3,30.7,27.8,27.5
2023/6/17,21.7,30.9,31.3,27.4
2023/6/18,23.7,31.1,28.5,29.2
2023/6/19,24.1,27.7,31.2,27.1
2023/6/20,23.6,27.0,30.4,29.3
2023/6/21,29.3,27.2,29.0,31.1
2023/6/22,20.7,22.6,24.9,29.0
2023/6/23,17.1,24.9,27.2,31.3
2023/6/24,18.2,29.5,29.2,31.3
2023/6/25,24.9,30.9,29.7,30.6
2023/6/26,27.7,30.4,27.5,31.4
2023/6/27,26.2,29.6,31.8,31.7
2023/6/28,24.5,32.3,31.5,30.5
2023/6/29,27.4,33.8,33.3,31.4
2023/6/30,24.9,30.5,29.9,30.9
2023/7/1,23.7,27.8,25.6,31.6
2023/7/2,23.0,31.7,32.4,31.5
2023/7/3,25.4,32.2,32.2,33.3
2023/7/4,25.0,30.6,34.4,31.2
2023/7/5,24.4,28.7,30.3,31.2
2023/7/6,25.4,33.4,33.0,31.9
2023/7/7,26.5,34.2,33.8,32.3
2023/7/8,29.9,30.9,32.7,32.9
2023/7/9,28.6,33.0,30.4,32.3
2023/7/10,26.9,36.5,32.3,33.4
2023/7/11,26.5,34.3,34.0,32.4
2023/7/12,25.3,37.5,33.3,33.4
2023/7/13,20.3,30.3,30.7,32.8
2023/7/14,25.4,30.5,32.3,32.5
2023/7/15,20.8,32.9,33.9,32.1
2023/7/16,25.2,35.3,34.2,32.1
2023/7/17,28.0,36.2,35.5,31.2
2023/7/18,26.2,37.5,35.8,31.9
2023/7/19,25.9,33.9,34.1,33.2
2023/7/20,26.6,32.6,34.0,33.3
2023/7/21,26.4,31.6,34.8,32.5
2023/7/22,25.7,33.4,35.1,33.3
2023/7/23,28.0,33.4,34.4,33.8
2023/7/24,27.3,35.7,34.2,33.6
2023/7/25,26.9,36.6,34.8,32.9
2023/7/26,29.2,37.7,36.1,31.7
2023/7/27,30.4,36.9,38.1,29.0
2023/7/28,30.4,36.2,37.4,31.8
2023/7/29,30.7,35.7,34.8,32.4
2023/7/30,29.6,36.6,35.7,34.0
2023/7/31,26.8,36.1,35.0,30.2
2023/8/1,30.0,33.2,37.0,30.7
2023/8/2,30.8,34.7,36.2,28.4
2023/8/3,31.5,35.0,35.5,29.1
2023/8/4,31.6,36.7,35.1,29.2
2023/8/5,28.8,35.9,38.4,28.1
2023/8/6,25.8,34.8,37.0,27.8
2023/8/7,25.2,34.9,32.8,29.5
2023/8/8,23.9,35.9,35.5,28.5
2023/8/9,31.6,31.8,36.4,30.0
2023/8/10,29.0,34.4,38.0,31.0
2023/8/11,32.2,35.0,36.7,31.3
2023/8/12,32.7,35.5,36.4,30.9
2023/8/13,26.5,32.9,38.6,32.5
2023/8/14,27.3,32.9,33.7,32.8
2023/8/15,22.2,32.8,27.6,32.2
2023/8/16,24.8,32.2,33.8,31.4
2023/8/17,27.1,34.5,30.8,30.9
2023/8/18,28.1,34.6,33.2,32.1
2023/8/19,27.3,35.7,35.6,33.0
2023/8/20,28.6,35.3,37.2,32.5
2023/8/21,30.8,34.8,37.7,32.9
2023/8/22,33.4,32.1,35.9,33.5
2023/8/23,34.5,34.1,34.7,33.3
2023/8/24,33.0,34.1,34.0,33.5
2023/8/25,33.4,34.4,34.8,32.7
2023/8/26,31.9,33.4,35.7,32.9
2023/8/27,32.1,32.4,34.1,32.3
2023/8/28,32.0,34.6,34.9,32.6
2023/8/29,29.6,35.0,35.1,33.4
2023/8/30,29.0,34.6,33.2,33.7
2023/8/31,29.4,34.1,34.5,32.8
2023/9/1,25.1,33.4,34.7,32.7
2023/9/2,27.4,34.9,33.9,31.4
2023/9/3,28.1,34.6,36.4,32.2
2023/9/4,27.3,30.3,34.6,32.4
2023/9/5,29.3,34.8,34.2,32.8
2023/9/6,28.3,33.4,30.9,32.9
2023/9/7,25.8,30.0,30.4,31.8
2023/9/8,27.0,25.2,29.4,31.2
2023/9/9,26.9,29.6,31.9,32.4
2023/9/10,29.6,33.0,33.1,32.4
2023/9/11,25.4,32.9,29.7,32.9
2023/9/12,25.5,32.0,32.4,32.1
2023/9/13,27.4,33.4,33.1,32.5
2023/9/14,22.0,32.7,33.2,33.4
2023/9/15,23.4,32.8,34.5,33.5
2023/9/16,26.2,31.7,34.1,32.9
2023/9/17,25.6,32.9,33.6,32.1
2023/9/18,25.4,33.3,33.3,31.5
2023/9/19,26.1,33.5,33.7,32.0
2023/9/20,21.9,32.3,33.5,32.6
2023/9/21,19.0,29.5,32.8,31.1
2023/9/22,22.9,29.4,29.3,32.7
2023/9/23,22.9,24.3,29.1,32.3
2023/9/24,22.4,26.8,29.8,32.3
2023/9/25,21.4,27.7,32.0,31.9
2023/9/26,25.4,29.7,31.7,32.5
2023/9/27,25.5,30.2,32.3,32.8
2023/9/28,20.6,33.2,32.3,30.6
2023/9/29,22.7,28.9,32.3,30.7
